"name";"lat";"lon";"kanton"
"Wäldi";47.63421;9.09504;"TG"
"Waldheim";46.93957;8.31669;"NW"
"Waldhaus";46.82884;9.2898;"GR"
"Waldenburg";47.38333;7.75;"BL"
"Wald";47.27595;8.91405;"ZH"
"Wald";46.83526;7.87549;"BE"
"Walchwil";47.10169;8.51693;"ZG"
"Wahlern";46.82701;7.35303;"BE"
"Wahlen";47.40226;7.51511;"BL"
"Wahlen";46.75087;7.56504;"BE"
"Wagenhausen";47.66003;8.84782;"TG"
"Wädenswil";47.22683;8.6687;"ZH"
"Wachseldorn";46.82205;7.72507;"BE"
"Wabern";46.92987;7.45079;"BE"
"Vulpera";46.78631;10.28346;"GR"
"Vullierens";46.57397;6.48193;"VD"
"Vuiteboeuf";46.80922;6.55043;"VD"
"Vuisternens-en-Ogoz";46.70815;7.05398;"FR"
"Vuadens";46.61545;7.01732;"FR"
"Vrin";46.65555;9.09949;"GR"
"Vouvry";46.33746;6.8895;"VS"
"Vor Siez";46.97697;9.30079;"SG"
"Vorfrutt";46.87259;8.86859;"UR"
"Vorderthal";47.12172;8.90225;"SZ"
"Vorder Stafel";46.76023;8.20623;"BE"
"Vorderfultigen";46.83828;7.42465;"BE"
"Vorder Boden";46.83333;8.75;"UR"
"Vordemwald";47.27585;7.90114;"AG"
"Volketswil / Volketswil (Dorf)";47.39016;8.69085;"ZH"
"Vitznau";47.01014;8.4842;"LU"
"Vissoie";46.21622;7.58639;"VS"
"Visse";46.30272;7.3361;"VS"
"Visperterminen";46.25899;7.90192;"VS"
"Visp";46.2937;7.88149;"VS"
"Visletto";46.30777;8.61193;"TI"
"Vira";46.14327;8.84202;"TI"
"Vionnaz";46.31101;6.90062;"VS"
"Vinzel";46.44827;6.27817;"VD"
"Vilters";47.02614;9.45322;"SG"
"Villnachern";47.47098;8.15975;"AG"
"Villmergen";47.35009;8.24762;"AG"
"Villigen";47.52682;8.21486;"AG"
"Villetta";46.13826;7.46795;"VS"
"Villeret";47.15838;7.01889;"BE"
"Villeneuve";46.39869;6.92654;"VD"
"Villaz-Saint-Pierre";46.72074;6.95638;"FR"
"Villarvolard";46.64527;7.10736;"FR"
"Villars-sur-Ollon";46.29832;7.05631;"VD"
"Villars-sur-Marly";46.77485;7.18581;"FR"
"Villars-sur-Glâne";46.79054;7.11717;"FR"
"Villars-le-Grand";46.90488;6.98999;"VD"
"Villarsiviriaux";46.69939;7.01032;"FR"
"Villarsel-le-Gibloux";46.71305;7.01773;"FR"
"Vella";46.718;9.17224;"GR"
"Villa";46.51021;8.52464;"TI"
"Vignogn";46.69958;9.15607;"GR"
"Viganello";46.01342;8.96879;"TI"
"Vicques";47.35;7.41342;"JU"
"Vicosoprano";46.35112;9.6208;"GR"
"Viano";46.25333;10.13941;"GR"
"Veytaux";46.42129;6.93048;"VD"
"Veysonnaz";46.19521;7.33556;"VS"
"Veyrier";46.16699;6.18436;"GE"
"Vex";46.21239;7.39826;"VS"
"Vevey";46.46299;6.84345;"VD"
"Vétroz";46.22171;7.27858;"VS"
"Vésenaz";46.2403;6.19749;"GE"
"Versoix";46.28382;6.16214;"GE"
"Verscio";46.18482;8.73224;"TI"
"Versam";46.79205;9.3378;"GR"
"Vernier";46.21702;6.08497;"GE"
"Vernec";46.11515;7.46166;"VS"
"Vernayaz";46.13667;7.03906;"VS"
"Vernamiège";46.21171;7.4313;"VS"
"Vermes";47.32692;7.47648;"JU"
"Vermala";46.31724;7.48844;"VS"
